PO_No,PO_Date,Vendor_ID,Material_ID,Qty,Unit_Price_AED,Requested_Delivery_Date,Promised_Delivery_Date,Delivered_Date,Freight_Type,Delivery_Status,Currency
PO-4500188801,2025-04-28,V-DBX-01,MAT-SEAL-35MM-2100,2,1950.0,2025-05-05,2025-05-04,2025-05-04,Normal,On-Time,AED
PO-4500188802,2025-05-02,V-ADB-02,MAT-IMPELLER-KSB-65-160,1,4200.0,2025-05-08,2025-05-07,2025-05-08,Normal,Late,AED
PO-4500188803,2025-05-29,V-GULF-01,MAT-BRG-22224-CCW33,2,2100.0,2025-06-03,2025-06-02,2025-06-02,Normal,On-Time,AED
PO-4500188804,2025-06-10,V-GULF-01,MAT-FILTER-HYDAC-0330D010,6,180.0,2025-06-14,2025-06-14,2025-06-15,Normal,Late,AED
PO-4500188805,2025-04-18,V-ARAB-03,MAT-GASKET-4IN-150-SS316G,10,65.0,2025-04-21,2025-04-21,2025-04-21,Normal,On-Time,AED
PO-4500188806,2025-03-22,V-ARAB-03,MAT-VBELT-SPB-2240,6,95.0,2025-03-27,2025-03-27,2025-03-28,Normal,Late,AED
PO-4500188807,2025-01-15,V-ADB-02,MAT-SLEEVE-CRN10,1,720.0,2025-01-20,2025-01-20,2025-01-20,Normal,On-Time,AED
PO-4500188808,2025-02-10,V-ARAB-03,MAT-STARTER-ABB-AF116,1,980.0,2025-02-15,2025-02-14,2025-02-14,Normal,On-Time,AED
PO-4500188809,2025-06-28,V-GULF-01,MAT-OIL-MOBIL-SHC632-20L,4,520.0,2025-07-02,2025-07-02,2025-07-03,Normal,Late,AED
PO-4500188810,2025-02-02,V-DBX-01,MAT-BRG-6312-2ZC3,8,120.0,2025-02-07,2025-02-06,2025-02-06,Normal,On-Time,AED
PO-4500188811,2025-03-05,V-ARAB-03,MAT-THERMO-TYPEK-1200,2,350.0,2025-03-10,2025-03-10,2025-03-11,Normal,Late,AED
PO-4500188812,2025-05-12,V-GULF-01,MAT-PT-ROSEM-3051-10B,1,4800.0,2025-05-17,2025-05-17,2025-05-18,Normal,Late,AED
PO-4500188813,2025-07-18,V-ARAB-03,MAT-ORING-FKM-35X3,100,2.2,2025-07-22,2025-07-22,2025-07-22,Normal,On-Time,AED
PO-4500188814,2025-06-22,V-GULF-01,MAT-HOSE-2SN-1/2-330,30,28.0,2025-06-26,2025-06-26,2025-06-27,Normal,Late,AED
PO-4500188815,2025-05-30,V-ARAB-03,MAT-FANFILTER-325,10,55.0,2025-06-03,2025-06-03,2025-06-03,Normal,On-Time,AED
PO-4500188816,2025-04-06,V-GULF-01,MAT-POS-FISHER-DVC6200,1,6800.0,2025-04-12,2025-04-12,2025-04-11,Normal,On-Time,AED
PO-4500188817,2025-07-21,V-ADB-02,MAT-SEAL-45MM-MFL85N,2,2850.0,2025-07-26,2025-07-26,2025-07-28,Expedite,Late,AED
PO-4500188818,2025-07-24,V-ALT-04,MAT-BRG-22224-CCW33,2,2050.0,2025-07-28,2025-07-28,2025-07-29,Expedite,Late,AED
PO-4500188819,2025-06-08,V-DBX-01,MAT-COUP-SPIDER-1100T10,2,320.0,2025-06-12,2025-06-12,2025-06-12,Normal,On-Time,AED
PO-4500188820,2025-05-09,V-ARAB-03,MAT-GASKET-4IN-150-SS316G,20,64.0,2025-05-12,2025-05-12,2025-05-12,Normal,On-Time,AED
