Equipment_ID,Material_ID,Qty,Is_Alternate,Valid_From,Source,Notes
EQ-PUMP-CRN10-6-01,MAT-SEAL-35MM-2100,1,N,2022-03-15,OEM Manual,Primary seal
EQ-PUMP-CRN10-6-01,MAT-SLEEVE-CRN10,1,N,2022-03-15,OEM Manual,Shaft sleeve
EQ-PUMP-KSB-65-160-01,MAT-IMPELLER-KSB-65-160,1,N,2020-09-10,OEM Manual,Impeller
EQ-HPU-REX-45-01,MAT-FILTER-HYDAC-0330D010,2,N,2022-01-08,Engineering,Return filter
EQ-GEAR-FLENDER-H3SH-01,MAT-BRG-22224-CCW33,2,N,2019-04-02,Engineering,Main bearing
EQ-CRANE-DEMAG-DH20-01,MAT-VBELT-SPB-2240,2,Y,2016-03-30,WO History,Legacy drive belt
EQ-VALVE-FISHER-119-01,MAT-POS-FISHER-DVC6200,1,N,2017-04-21,Engineering,Positioner upgrade
EQ-DRIVE-ABB-ACS880-01,MAT-FANFILTER-325,2,N,2021-06-14,OEM Manual,Cooling filter
EQ-INST-EH-PROMAG-01,MAT-THERMO-TYPEK-1200,1,Y,2020-07-09,WO History,Used as temp probe
EQ-GEARBOX-FALK-1100-01,MAT-COUP-SPIDER-1100T10,1,N,2018-06-18,OEM Manual,Spider insert
